year,month,adm1,lc_class,lc_name,ndvi,temp_c,soil_moisture,precip_mm
2019.0,6.0,Thueringen,2,cropland,0.7458138320305115,20.10641670816375,0.2826967649763713,50.99289512953822
2019.0,6.0,Thueringen,3,grassland,0.7510665370777233,19.71922484524563,0.3003983352496396,56.195126025162075
2019.0,6.0,Thueringen,4,other,0.6516542423815792,20.009302604998428,0.2856312632875367,51.927559324991016
2019.0,7.0,Baden-Wuerttemberg,1,forest,0.7794637824449981,19.823437954254427,0.3084413226802524,81.62495219709999
2019.0,7.0,Baden-Wuerttemberg,2,cropland,0.6488684523138666,20.213448987728686,0.3036965402150693,75.6075763050758
2019.0,7.0,Baden-Wuerttemberg,3,grassland,0.7129454010423563,19.695762374755212,0.3238385198557464,90.09011907810282
2019.0,7.0,Baden-Wuerttemberg,4,other,0.5708611648775747,20.591946446466046,0.2978964105738721,79.24655869265564
2019.0,7.0,Bayern,1,forest,0.7493374772194913,19.379856442113535,0.2790532268869987,91.9503993187413
2019.0,7.0,Bayern,2,cropland,0.633566168824912,20.08218803052533,0.2877299596621278,77.75782996306646
2019.0,7.0,Bayern,3,grassland,0.6988034287340865,19.19005707440295,0.30021353046866267,106.72504641157803
2019.0,7.0,Bayern,4,other,0.5675082501947861,19.785846474431313,0.28898627035109486,93.83785558012598
2019.0,7.0,Berlin,1,forest,0.6409183012277424,20.49297001113885,0.1910210063719109,56.186108660664324
2019.0,7.0,Berlin,2,cropland,0.6005966097308489,20.278695685589785,0.19170268031399498,54.444569720831296
2019.0,7.0,Berlin,3,grassland,0.5813836440339778,20.33600338059508,0.19075777494025642,54.62106017714612
2019.0,7.0,Berlin,4,other,0.478602096706377,20.547799399045378,0.1881943034575994,56.453055937228406
2019.0,7.0,Brandenburg,1,forest,0.692222791504743,20.198730833312446,0.22364708103777536,56.463423834129124
2019.0,7.0,Brandenburg,2,cropland,0.5320261253474623,20.036572788859534,0.22701073153452947,55.11238011959237
2019.0,7.0,Brandenburg,3,grassland,0.6127520390515696,20.13937343011832,0.24145970487536889,55.70530360477133
2019.0,7.0,Brandenburg,4,other,0.5605910722942714,20.23163853657376,0.22973256887059837,56.749075639799266
2019.0,7.0,Bremen,1,forest,0.6310934680605862,18.82595251719658,0.2804756072822763,47.89905133582494
2019.0,7.0,Bremen,2,cropland,0.5915042476216001,19.016337657127597,0.25747683229420715,46.192139677716376
2019.0,7.0,Bremen,3,grassland,0.6502992947613745,18.86093549098689,0.27053324444145466,47.36006715514248
